FileNo,APINo,SpudDate,completion mo,CurrentWellName,CurrentOperator,Wellbore,WellType,WellStatus,Latitude,Longitude
209,33061000150000,11/15/52,12/1/52,TIOGA-MADISON UNIT     O-143HR,"HESS BAKKEN INVESTMENTS II, LLC",HORIZONTAL RE-ENTRY,OG,IA,48.511995,-102.861213
127,33105000700000,11/24/52,12/1/52,TIOGA-MADISON UNIT     I-129,HESS CORPORATION,VERTICAL,OG,PA,48.461236,-102.893479
206,33009000080000,11/8/52,1/1/53,EDWIN BERENTSON     1,WARD-WILLISTON DRILLING CO.,VERTICAL,OG,PA,48.924407,-101.045952
219,33105001310000,11/26/52,1/1/53,BEAVER LODGE-MADISON UNIT     W-24,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.325708,-102.890073
161,33105000930000,12/6/52,1/1/53,BEAVER LODGE-MADISON UNIT     F-10,"HESS BAKKEN INVESTMENTS II, LLC",VERTICAL,OG,TA,48.275082,-102.981312
233,33105001390000,12/8/52,1/1/53,TIOGA-MADISON UNIT     J-136,"HESS BAKKEN INVESTMENTS II, LLC",VERTICAL,OG,PA,48.486623,-102.888123
85,33105000410000,12/8/52,1/1/53,BEAVER LODGE-MADISON UNIT     J-5,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.256878,-102.959624
189,33105001140000,12/11/52,1/1/53,BEAVER LODGE-MADISON UNIT     K-13,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.285888,-102.955058
179,33105001060000,11/19/52,1/1/53,BEAVER LODGE-MADISON UNIT     Y-30,AMERADA HESS CORPORATION,VERTICAL,WI,DRY,48.347522,-102.879286
234,33105001400000,12/22/52,1/1/53,BEAVER LODGE-MADISON UNIT     D-8,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.267825,-102.992072
225,33105001360000,12/10/52,1/1/53,BEAVER LODGE-MADISON UNIT     J-20,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.311202,-102.959326
122,33105000660000,12/10/52,1/1/53,BEAVER LODGE-MADISON UNIT     Q-26,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.332932,-102.922684
162,33105000940000,12/28/52,1/1/53,TIOGA-MADISON UNIT     G-121,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.432216,-102.904183
237,33061000190000,12/6/52,1/1/53,CLIFFORD RICE     1,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.500689,-102.790356
221,33105001320000,12/21/52,1/1/53,BEAVER LODGE-MADISON UNIT     W-31,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.351114,-102.890246
247,33009000110000,12/28/52,1/1/53,EKREHAGEN     1,CARDINAL DRILLING CO.,VERTICAL,OG,PA,48.957064,-100.777356
186,33061000100000,12/3/52,2/1/53,TIOGA-MADISON UNIT     L-130,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.464839,-102.877488
193,33061000110000,12/27/52,2/1/53,TIOGA-MADISON UNIT     L-140,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.501063,-102.877552
238,33061000200000,12/30/52,2/1/53,TIOGA-MADISON UNIT     M-145,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.519214,-102.872076
243,33105001450000,12/21/52,2/1/53,BEAVER LODGE-MADISON UNIT     U-31,"HESS BAKKEN INVESTMENTS II, LLC",VERTICAL,OG,TA,48.351116,-102.901111
224,33105001350000,1/5/53,2/1/53,BEAVER LODGE-MADISON UNIT     M-8,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.267774,-102.944135
268,33105001640000,1/7/53,2/1/53,BEAVER LODGE-MADISON UNIT     M-21,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.314776,-102.944157
156,33105000880000,12/22/52,2/1/53,TIOGA-MADISON UNIT     J-144,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.515499,-102.888012
231,33061000180000,12/14/52,2/1/53,TIOGA-MADISON UNIT     O-145,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.519231,-102.861175
222,33105001330000,1/16/53,2/1/53,BEAVER LODGE-MADISON UNIT     H-4,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.253334,-102.97051
217,33105001290000,1/12/53,2/1/53,BEAVER LODGE-MADISON UNIT     F-12,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.282271,-102.981312
266,33105001620000,1/14/53,2/1/53,TIOGA-MADISON UNIT     I-135,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.483215,-102.893561
